"Number.of.Vehicles","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Daylight.Dark","Weather.Conditions","Type.of.Vehicle","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty"
"81",1,2017-04-07,"13:17",6,1,1,"Daylight",1,9,2,3,2,9
"82",2,2017-04-07,"00:00",4,1,4,"Dark",1,9,1,3,1,68
"83",1,2017-04-08,"00:26",6,1,4,"Dark",1,9,1,2,1,26
"84",1,2017-04-08,"13:20",3,1,1,"Daylight",1,5,1,3,2,35
"85",2,2017-04-09,"21:42",6,1,4,"Dark",1,9,1,3,1,18
"86",2,2017-03-31,"11:30",3,1,1,"Daylight",1,9,2,3,2,63
"87",2,2017-04-11,"13:56",6,1,1,"Daylight",1,9,1,3,1,45
"88",1,2017-04-11,"16:10",6,1,1,"Daylight",1,11,3,3,1,23
"89",3,2017-04-11,"15:35",1,1,1,"Daylight",1,19,1,3,1,29
"90",1,2017-04-13,"16:14",6,1,1,"Daylight",1,9,3,3,1,47
"91",2,2017-04-13,"21:25",6,1,4,"Dark",1,9,1,3,1,42
"92",1,2017-04-21,"13:25",6,1,1,"Daylight",1,9,3,3,2,46
"93",1,2017-04-23,"12:32",1,1,1,"Daylight",1,9,1,2,2,58
"94",2,2017-04-23,"18:35",6,1,7,"Dark",1,9,1,3,1,5
"95",2,2017-04-25,"17:00",6,2,7,"Dark",1,9,1,3,1,29
"96",3,2017-04-25,"17:55",1,1,7,"Dark",1,19,1,3,2,29
"97",2,2017-04-25,"17:05",6,2,7,"Dark",2,8,2,3,2,17
"98",2,2017-04-26,"06:05",6,1,7,"Dark",1,1,1,3,1,25
"99",2,2017-04-27,"07:34",2,2,1,"Daylight",1,9,1,3,1,33
"100",2,2017-04-27,"17:20",6,1,7,"Dark",1,9,1,3,1,23
"101",1,2017-04-28,"09:43",1,1,1,"Daylight",1,9,1,3,1,59
"102",2,2017-04-28,"16:00",3,1,1,"Daylight",1,9,1,3,1,39
"103",2,2017-04-28,"14:46",6,1,1,"Daylight",1,9,1,3,2,20
"105",2,2017-05-06,"19:49",6,1,7,"Dark",1,1,1,3,1,14
"106",2,2017-05-09,"15:40",6,1,1,"Daylight",1,3,1,3,1,18
"107",2,2017-05-09,"17:40",3,1,7,"Dark",1,1,1,2,1,21
"108",3,2017-05-12,"09:00",3,1,1,"Daylight",1,8,1,3,2,25
"109",1,2017-05-12,"15:15",3,2,1,"Daylight",1,9,3,3,2,33
"110",2,2017-05-13,"17:01",6,1,7,"Dark",1,9,1,2,1,17
"111",2,2017-05-20,"09:32",3,1,1,"Daylight",1,9,1,3,1,78
"112",1,2017-05-22,"19:30",6,1,7,"Dark",1,9,3,2,1,2
"113",2,2017-05-24,"07:35",3,1,1,"Daylight",1,9,1,3,1,44
"114",1,2017-05-23,"12:30",6,1,1,"Daylight",1,9,3,3,2,29
"115",2,2017-05-24,"19:33",6,1,7,"Dark",1,9,1,3,1,22
"116",2,2017-05-25,"06:40",3,1,7,"Dark",1,9,1,2,1,40
"117",2,2017-05-15,"15:15",6,1,1,"Daylight",1,9,1,3,1,23
"118",1,2017-05-22,"12:30",6,1,1,"Daylight",1,9,3,3,1,75
"119",1,2017-05-28,"07:00",6,1,7,"Dark",1,9,2,3,1,36
"120",2,2017-05-30,"18:09",4,1,7,"Dark",1,9,1,3,1,58
"121",2,2017-05-31,"19:33",6,1,7,"Dark",1,9,1,3,1,39
"122",1,2017-06-01,"02:13",6,1,4,"Dark",1,9,3,2,1,36
"123",1,2017-06-01,"03:25",6,1,6,"",1,9,1,3,1,28
"124",2,2017-06-03,"13:45",6,1,1,"Daylight",1,9,3,2,2,6
"125",1,2017-06-03,"18:05",6,1,7,"Dark",1,8,2,3,2,44
"126",2,2017-06-05,"09:00",6,2,1,"Daylight",2,21,1,3,1,18
"127",1,2017-06-06,"14:30",1,2,1,"Daylight",5,9,1,3,2,23
"128",2,2017-06-06,"14:53",6,1,1,"Daylight",5,9,1,3,2,18
"129",2,2017-05-25,"12:10",3,1,1,"Daylight",1,9,1,3,1,75
"130",1,2017-06-13,"13:55",6,1,1,"Daylight",1,9,3,3,1,65
"131",2,2017-06-13,"16:28",6,1,1,"Daylight",1,9,1,3,2,63
"132",4,2017-06-15,"13:41",1,1,1,"Daylight",1,9,2,3,1,71
"133",2,2017-06-16,"16:30",6,1,1,"Daylight",1,9,1,3,1,84
"134",3,2017-06-16,"22:30",4,1,4,"Dark",1,9,1,3,1,38
"135",2,2017-06-19,"16:30",6,1,1,"Daylight",1,9,1,3,1,71
"136",2,2017-06-20,"07:13",3,1,7,"Dark",1,9,2,3,2,30
"138",2,2017-06-20,"16:00",1,1,1,"Daylight",1,9,1,3,2,38
"139",2,2017-06-20,"18:26",1,1,7,"Dark",1,19,1,3,1,20
"140",1,2017-06-21,"17:50",6,1,7,"Dark",1,9,1,3,1,19
"141",1,2017-06-22,"16:56",3,1,1,"Daylight",1,9,3,1,1,57
"142",3,2017-06-23,"20:23",3,2,7,"Dark",1,9,1,3,1,26
"143",2,2017-06-23,"21:25",3,1,7,"Dark",1,9,2,3,2,38
"144",1,2017-06-24,"10:32",4,1,1,"Daylight",1,9,3,2,1,64
"145",2,2017-06-24,"11:57",3,1,1,"Daylight",1,9,1,3,2,58
"147",1,2017-06-24,"19:00",6,1,7,"Dark",1,9,3,3,1,13
"148",1,2017-06-24,"20:56",6,1,7,"Dark",1,9,3,3,2,14
"149",2,2017-06-26,"14:32",6,1,1,"Daylight",1,9,1,3,2,30
"150",3,2017-06-28,"07:21",1,2,7,"Dark",2,9,1,3,1,25
"151",2,2017-06-29,"18:00",6,1,7,"Dark",1,9,1,3,1,7
"152",3,2017-06-29,"12:15",3,2,1,"Daylight",2,9,1,3,1,6
"153",2,2017-06-29,"16:40",3,1,1,"Daylight",1,1,1,3,1,49
"154",2,2017-07-01,"13:30",3,1,1,"Daylight",1,9,1,2,1,23
"155",2,2017-07-01,"16:36",3,1,1,"Daylight",1,9,1,2,1,48
"156",2,2017-07-02,"17:32",3,1,7,"Dark",1,1,1,3,1,39
"157",1,2017-07-02,"15:20",6,1,1,"Daylight",1,9,3,3,1,10
"158",2,2017-07-02,"22:36",3,1,4,"Dark",1,9,1,3,2,30
"159",2,2017-07-03,"22:00",6,1,7,"Dark",1,19,1,3,1,43
"160",1,2017-07-07,"13:41",6,1,1,"Daylight",1,8,3,3,1,41
"161",2,2017-07-07,"23:00",6,1,4,"Dark",1,9,1,3,1,20
"162",2,2017-07-08,"11:51",6,1,1,"Daylight",1,9,2,3,2,44
"163",3,2017-07-08,"12:07",4,1,1,"Daylight",1,9,1,3,1,54
"164",2,2017-07-08,"19:15",6,1,7,"Dark",8,9,1,3,2,40
"165",1,2017-07-08,"19:50",6,1,7,"Dark",1,9,3,3,2,3
"166",2,2017-07-08,"21:40",6,1,7,"Dark",1,3,1,3,1,18
"167",2,2017-07-09,"16:10",6,1,1,"Daylight",1,1,1,3,1,14
"168",1,2017-07-09,"16:42",6,1,1,"Daylight",1,19,3,3,2,5
"169",2,2017-07-10,"19:26",6,1,7,"Dark",1,9,2,3,2,18
"170",1,2017-07-10,"19:31",6,1,7,"Dark",1,9,3,3,1,4
"171",2,2017-07-13,"09:07",6,1,1,"Daylight",1,9,1,3,2,35
"172",1,2017-07-15,"15:10",6,1,1,"Daylight",1,9,3,3,1,14
"173",2,2017-07-15,"22:41",3,1,4,"Dark",1,9,1,3,1,21
"174",2,2017-07-16,"13:57",6,1,1,"Daylight",1,9,1,3,1,31
"175",2,2017-07-17,"08:49",6,1,1,"Daylight",1,9,1,3,1,9
"176",2,2017-07-19,"07:50",3,1,1,"Daylight",1,9,1,3,1,35
"177",2,2017-07-19,"11:14",3,1,1,"Daylight",1,9,1,2,1,63
