"Number.of.Vehicles","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Daylight.Dark","Weather.Conditions","Type.of.Vehicle","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty"
"346",1,2016-01-07,"16:00",3,1,1,"Daylight",1,9,3,3,1,34
"347",1,2016-01-08,"12:00",3,1,1,"Daylight",1,19,3,3,2,36
"348",1,2016-01-13,"18:56",6,2,1,"Daylight",1,2,1,2,1,27
"349",2,2016-01-14,"08:31",1,2,1,"Daylight",1,9,1,3,1,63
"350",2,2016-01-14,"13:20",3,1,1,"Daylight",1,1,1,1,1,55
"351",1,2016-01-15,"12:02",3,1,1,"Daylight",1,21,3,2,2,87
"352",2,2016-01-15,"15:36",6,2,1,"Daylight",1,9,1,3,1,29
"353",1,2016-01-16,"13:10",6,1,1,"Daylight",1,9,3,3,1,60
"354",1,2016-01-16,"20:54",6,3,4,"Dark",3,8,2,3,2,29
"355",1,2016-01-16,"21:01",1,3,4,"Dark",3,9,1,3,2,18
"356",1,2016-01-17,"20:40",6,2,6,"",1,90,1,2,1,33
"357",2,2016-01-18,"16:35",6,1,4,"Dark",9,9,1,3,1,23
"358",1,2016-01-20,"09:11",6,2,1,"Daylight",1,9,3,3,2,33
"359",1,2016-01-22,"09:00",6,2,1,"Daylight",1,8,2,3,1,16
"360",1,2016-01-22,"09:00",6,2,1,"Daylight",1,8,2,3,2,11
"361",1,2016-01-22,"09:00",6,2,1,"Daylight",1,8,2,3,1,12
"362",2,2016-01-22,"09:15",1,1,1,"Daylight",1,9,1,3,1,47
"363",2,2016-01-25,"14:10",3,1,1,"Daylight",1,9,2,3,2,30
"364",1,2016-01-26,"15:33",6,2,1,"Daylight",1,9,3,3,1,25
"365",1,2016-01-26,"17:08",6,2,4,"Dark",5,9,3,3,1,49
"366",2,2016-01-27,"17:28",6,2,4,"Dark",5,3,1,3,1,27
"367",2,2016-01-28,"20:50",6,1,4,"Dark",9,9,1,3,2,20
"368",1,2016-01-30,"15:15",6,1,1,"Daylight",9,9,3,3,2,66
"369",1,2016-01-30,"23:31",1,3,4,"Dark",6,9,2,3,2,31
"370",2,2016-01-31,"14:55",3,2,1,"Daylight",1,9,3,3,2,16
"371",2,2016-02-02,"08:30",6,1,1,"Daylight",1,9,1,3,1,55
"372",1,2016-02-04,"16:36",3,1,1,"Daylight",9,9,3,3,2,5
"373",1,2016-02-06,"13:25",3,2,1,"Daylight",5,9,1,3,2,55
"374",2,2016-01-27,"16:24",1,1,4,"Dark",9,9,1,3,2,55
"375",2,2016-02-08,"14:30",3,2,1,"Daylight",2,1,1,3,1,55
"376",1,2016-02-09,"16:18",6,2,1,"Daylight",1,3,1,3,1,19
"377",3,2016-02-09,"19:34",3,2,4,"Dark",1,9,1,2,1,54
"378",1,2016-02-10,"14:02",3,1,1,"Daylight",9,9,3,3,1,50
"379",1,2016-02-11,"06:45",3,4,4,"Dark",1,9,1,3,1,21
"380",2,2016-02-11,"19:10",6,1,4,"Dark",1,9,2,3,1,26
"381",1,2016-02-15,"11:50",3,1,1,"Daylight",1,9,3,3,2,13
"382",2,2016-02-16,"09:00",3,1,1,"Daylight",1,19,1,3,1,74
"383",1,2016-02-16,"21:10",3,2,5,"Dark",2,9,1,3,1,18
"384",5,2016-02-18,"10:28",6,1,1,"Daylight",1,9,2,3,2,26
"385",5,2016-02-18,"10:28",6,1,1,"Daylight",1,9,1,3,1,37
"386",5,2016-02-18,"10:28",6,1,1,"Daylight",1,9,2,3,2,36
"387",5,2016-02-18,"10:28",6,1,1,"Daylight",1,9,1,3,2,34
"388",2,2016-02-19,"16:25",4,2,1,"Daylight",2,1,1,3,1,24
"389",2,2016-02-19,"21:00",3,2,4,"Dark",2,9,1,3,2,33
"390",2,2016-02-20,"15:30",4,1,1,"Daylight",1,9,1,2,2,46
"391",2,2016-02-20,"15:30",4,2,1,"Daylight",2,9,1,3,2,32
"392",2,2016-02-20,"20:04",3,2,4,"Dark",1,8,1,3,1,36
"393",2,2016-02-20,"20:04",3,2,4,"Dark",1,9,1,2,2,19
"394",2,2016-02-20,"15:50",3,2,1,"Daylight",5,9,1,3,2,30
"395",3,2016-02-22,"07:00",1,2,1,"Daylight",1,9,1,3,1,41
"396",3,2016-02-22,"07:00",1,2,1,"Daylight",1,9,2,3,1,60
"397",3,2016-02-22,"07:50",6,1,1,"Daylight",1,9,2,3,2,7
"398",3,2016-02-22,"07:50",6,1,1,"Daylight",1,9,2,3,2,9
"399",2,2016-02-22,"11:29",1,2,1,"Daylight",1,9,1,3,1,44
"400",1,2016-02-22,"17:10",6,1,1,"Daylight",1,5,1,2,1,41
"401",1,2016-02-22,"13:20",6,1,1,"Daylight",1,9,3,3,2,29
"402",2,2016-02-24,"18:05",6,1,4,"Dark",1,1,1,3,2,45
"403",2,2016-02-24,"11:57",3,1,1,"Daylight",1,9,1,3,2,35
"404",1,2016-02-24,"13:37",3,1,1,"Daylight",1,9,3,3,1,29
"405",1,2016-02-25,"15:50",3,1,1,"Daylight",1,9,3,3,1,3
"406",2,2016-02-25,"17:20",6,1,1,"Daylight",1,9,1,3,2,41
"408",2,2016-02-27,"19:50",3,1,4,"Dark",1,9,1,3,1,19
"409",2,2016-02-27,"19:50",3,1,4,"Dark",1,9,2,3,1,70
"410",2,2016-02-27,"19:50",3,1,4,"Dark",1,9,2,3,2,18
"411",2,2016-02-27,"19:50",3,1,4,"Dark",1,9,1,3,2,55
"412",1,2016-02-29,"07:15",3,1,1,"Daylight",1,9,1,3,2,19
"413",1,2016-02-29,"07:15",3,1,1,"Daylight",1,9,2,2,2,23
"414",1,2016-02-28,"13:45",3,1,1,"Daylight",1,5,1,3,1,51
"415",3,2016-03-01,"15:40",6,2,1,"Daylight",2,9,2,2,1,4
"416",3,2016-03-01,"15:40",6,2,1,"Daylight",2,9,1,3,1,23
"417",3,2016-03-01,"15:40",6,2,1,"Daylight",2,9,1,3,1,53
"418",3,2016-03-01,"15:40",6,2,1,"Daylight",2,9,2,3,1,11
"419",3,2016-03-01,"15:40",6,2,1,"Daylight",2,9,2,3,2,52
"420",3,2016-03-01,"15:40",6,2,1,"Daylight",2,9,2,3,1,12
"421",3,2016-03-01,"15:40",6,2,1,"Daylight",2,9,1,3,2,35
"422",3,2016-03-01,"15:40",6,2,1,"Daylight",2,9,2,3,2,6
"423",1,2016-03-02,"05:42",3,3,4,"Dark",6,9,1,3,1,47
"424",1,2016-03-02,"09:05",6,3,1,"Daylight",3,9,1,3,2,48
"425",2,2016-03-02,"12:50",6,1,1,"Daylight",9,9,1,3,1,23
"426",3,2016-03-02,"16:20",3,1,1,"Daylight",1,9,1,3,2,51
"427",3,2016-03-02,"17:27",1,2,1,"Daylight",1,19,1,3,1,39
"428",3,2016-03-02,"17:27",1,2,1,"Daylight",1,9,1,3,1,35
"429",2,2016-03-02,"17:25",6,1,1,"Daylight",9,9,1,3,2,19
"430",2,2016-03-02,"17:25",6,1,1,"Daylight",9,9,2,3,2,21
"431",1,2016-03-04,"09:58",6,3,1,"Daylight",3,9,1,3,1,57
"432",2,2016-03-04,"08:00",3,3,1,"Daylight",3,1,1,3,2,36
"433",2,2016-03-04,"15:00",6,3,1,"Daylight",3,9,1,3,2,40
"434",1,2016-03-05,"10:30",6,1,1,"Daylight",1,9,3,3,2,12
"435",2,2016-03-06,"19:23",6,1,4,"Dark",1,9,1,3,1,25
"436",1,2016-03-07,"09:04",6,1,1,"Daylight",1,9,3,3,2,67
"437",2,2016-03-07,"18:40",3,1,1,"Daylight",1,9,1,3,1,64
"438",2,2016-03-07,"18:40",3,1,1,"Daylight",1,20,1,3,1,57
"439",2,2016-03-07,"18:40",3,1,1,"Daylight",1,20,3,3,1,55
"440",2,2016-03-07,"16:42",6,1,1,"Daylight",1,9,1,3,1,33
"441",1,2016-03-09,"15:45",6,2,1,"Daylight",2,9,3,3,1,11
"442",2,2016-03-10,"06:51",6,1,1,"Daylight",9,9,1,3,1,48
"443",2,2016-03-10,"06:57",6,2,6,"",1,9,1,3,1,35
"444",1,2016-03-12,"17:00",6,1,1,"Daylight",1,9,3,3,1,7
"445",6,2016-03-13,"10:48",3,1,1,"Daylight",1,9,2,3,1,25
"446",6,2016-03-13,"10:48",3,1,1,"Daylight",1,9,1,3,1,22
"447",6,2016-03-13,"10:48",3,1,1,"Daylight",1,9,2,3,1,21
"448",2,2016-03-15,"07:59",1,2,1,"Daylight",1,19,1,3,1,34
"449",1,2016-03-18,"06:00",3,1,1,"Daylight",9,19,2,3,1,24
"450",2,2016-03-18,"08:30",3,1,1,"Daylight",1,9,1,3,2,21
"451",1,2016-03-19,"11:07",6,1,1,"Daylight",1,9,3,3,1,26
"452",2,2016-03-19,"13:30",6,1,1,"Daylight",1,9,1,2,1,88
"453",1,2016-03-19,"17:27",6,1,1,"Daylight",1,9,1,3,2,24
"454",1,2016-03-19,"17:27",6,1,1,"Daylight",1,9,2,3,2,23
"455",3,2016-03-19,"18:56",6,1,4,"Dark",1,9,1,3,1,72
"456",3,2016-03-19,"18:56",6,1,4,"Dark",1,9,1,3,1,21
"457",3,2016-03-19,"18:56",6,1,4,"Dark",1,9,2,3,2,21
"459",2,2016-03-21,"16:55",6,1,1,"Daylight",1,1,1,3,1,41
"460",3,2016-03-22,"17:10",3,1,1,"Daylight",1,5,1,2,1,36
"461",1,2016-03-22,"17:30",3,1,1,"Daylight",1,9,3,3,1,7
"462",2,2016-03-23,"17:00",6,1,1,"Daylight",1,9,1,3,1,79
"463",1,2016-03-24,"07:59",6,2,1,"Daylight",8,9,1,3,2,27
"464",1,2016-03-24,"07:59",6,2,1,"Daylight",8,9,2,3,1,36
"465",3,2016-03-24,"10:25",3,2,1,"Daylight",1,9,1,3,1,59
"466",3,2016-03-24,"10:25",3,2,1,"Daylight",1,9,2,3,2,10
"467",1,2016-03-24,"15:55",3,1,1,"Daylight",8,9,3,2,1,14
"468",2,2016-03-24,"18:27",3,2,4,"Dark",2,4,1,3,1,49
"469",2,2016-03-25,"07:15",3,1,1,"Daylight",1,1,1,3,1,50
"470",1,2016-03-26,"17:31",1,2,1,"Daylight",5,9,1,3,2,33
"471",1,2016-03-27,"13:50",1,2,1,"Daylight",5,9,2,3,2,26
"472",3,2016-03-27,"19:10",3,2,1,"Daylight",1,9,1,3,1,39
"473",3,2016-03-29,"08:45",3,2,1,"Daylight",3,9,1,3,1,36
"474",2,2016-03-29,"06:00",3,1,1,"Daylight",1,9,1,3,1,35
"475",2,2016-03-31,"09:30",3,1,1,"Daylight",1,9,1,3,1,35
"476",2,2016-03-31,"09:30",3,1,1,"Daylight",1,9,2,3,1,35
"477",1,2016-04-02,"05:50",6,2,1,"Daylight",1,9,3,3,1,36
"478",1,2016-04-02,"13:53",6,1,1,"Daylight",1,9,3,2,1,22
"479",3,2016-04-02,"16:10",3,1,1,"Daylight",1,9,1,3,1,47
"480",3,2016-04-02,"16:10",3,1,1,"Daylight",1,9,2,3,2,46
"481",3,2016-04-02,"16:10",3,1,1,"Daylight",1,9,2,3,2,16
"482",3,2016-04-02,"16:10",3,1,1,"Daylight",1,9,1,3,2,32
"483",3,2016-04-02,"16:10",3,1,1,"Daylight",1,9,2,3,1,62
"484",3,2016-04-02,"16:10",3,1,1,"Daylight",1,9,2,3,2,62
"485",3,2016-04-02,"16:10",3,1,1,"Daylight",1,9,1,3,2,70
"486",3,2016-04-02,"16:10",3,1,1,"Daylight",1,9,2,3,2,70
"487",1,2016-04-06,"21:48",6,2,5,"Dark",2,8,3,3,1,77
"488",1,2016-04-08,"10:30",1,1,1,"Daylight",1,21,1,3,1,49
"489",1,2016-04-10,"14:43",6,1,1,"Daylight",1,9,3,3,2,14
"490",3,2016-04-10,"21:22",3,1,4,"Dark",1,9,1,3,1,32
"491",1,2016-04-11,"13:08",3,1,1,"Daylight",1,21,3,3,1,54
"492",1,2016-04-11,"16:04",6,1,1,"Daylight",1,9,3,3,2,4
"493",1,2016-04-12,"12:36",6,2,1,"Daylight",2,9,3,2,2,37
"494",2,2016-04-12,"16:20",6,2,1,"Daylight",2,9,1,3,2,44
"495",2,2016-04-12,"16:20",6,2,1,"Daylight",2,9,1,3,2,23
"496",1,2016-04-12,"21:04",6,2,4,"Dark",1,9,2,2,1,19
"497",1,2016-04-12,"21:04",6,2,4,"Dark",1,9,2,2,1,15
"498",1,2016-04-12,"21:04",6,2,4,"Dark",1,9,2,2,1,25
"499",2,2016-04-13,"16:49",6,1,1,"Daylight",1,9,1,3,2,46
"500",1,2016-04-13,"17:00",6,1,1,"Daylight",1,5,1,1,1,46
"501",2,2016-04-15,"12:56",6,1,1,"Daylight",1,1,1,3,1,43
"502",1,2016-04-14,"15:15",6,1,1,"Daylight",1,9,3,3,1,4
"503",2,2016-04-14,"18:00",4,1,1,"Daylight",1,9,1,3,2,25
"504",2,2016-04-15,"15:05",6,2,1,"Daylight",1,5,1,2,2,53
"505",2,2016-04-15,"18:00",3,1,1,"Daylight",1,1,1,3,1,50
"506",1,2016-04-18,"22:21",6,1,4,"Dark",1,9,3,3,2,55
"507",2,2016-04-19,"08:00",6,1,1,"Daylight",1,3,1,2,2,21
"508",4,2016-04-19,"11:36",3,1,1,"Daylight",1,9,1,3,2,26
"509",4,2016-04-19,"11:36",3,1,1,"Daylight",1,9,1,3,2,38
"510",2,2016-04-20,"09:10",3,1,1,"Daylight",1,5,1,2,1,74
"511",4,2016-04-20,"15:25",6,1,1,"Daylight",1,9,1,3,1,37
"512",4,2016-04-20,"15:25",6,1,1,"Daylight",1,8,1,3,1,45
"513",4,2016-04-20,"15:25",6,1,1,"Daylight",1,9,1,3,2,51
"514",4,2016-04-20,"15:25",6,1,1,"Daylight",1,9,1,3,1,24
"515",3,2016-04-21,"22:44",3,1,4,"Dark",1,9,1,3,1,34
"516",3,2016-04-21,"22:44",3,1,4,"Dark",1,9,2,3,1,20
"517",2,2016-04-22,"08:11",3,1,1,"Daylight",1,9,1,3,2,57
"518",2,2016-04-22,"08:11",3,1,1,"Daylight",1,9,1,3,2,62
"519",2,2016-04-22,"12:58",3,1,1,"Daylight",1,9,1,3,2,41
"520",2,2016-04-23,"01:30",3,1,4,"Dark",1,9,1,3,1,23
"521",2,2016-04-23,"01:30",3,1,4,"Dark",1,8,1,3,1,40
"522",2,2016-04-17,"17:30",6,1,1,"Daylight",1,9,2,3,2,51
"523",2,2016-04-25,"06:10",3,1,1,"Daylight",1,1,1,3,1,37
"524",2,2016-04-25,"17:36",1,2,1,"Daylight",1,9,1,3,1,27
"525",2,2016-04-25,"17:36",1,2,1,"Daylight",1,20,1,3,1,31
"526",2,2016-04-25,"17:30",3,1,1,"Daylight",1,1,1,3,1,59
"527",1,2016-04-26,"15:45",4,1,1,"Daylight",1,9,3,3,1,14
"528",3,2016-04-28,"21:04",6,1,4,"Dark",1,9,3,3,1,60
"529",2,2016-04-30,"07:18",6,1,1,"Daylight",1,9,1,3,2,30
"530",1,2016-04-30,"12:05",3,1,1,"Daylight",1,9,3,3,1,51
"531",2,2016-04-30,"19:25",6,1,1,"Daylight",1,9,1,3,1,54
"532",1,2016-04-30,"12:30",6,1,1,"Daylight",1,9,3,3,2,43
"533",2,2016-05-01,"22:39",6,1,4,"Dark",1,9,1,3,2,26
"534",2,2016-05-03,"11:26",1,1,1,"Daylight",1,9,1,3,1,29
"535",1,2016-05-03,"17:25",6,1,1,"Daylight",1,9,3,2,1,11
"536",3,2016-05-04,"07:43",1,1,1,"Daylight",1,9,1,3,2,31
"537",3,2016-05-04,"07:43",1,1,1,"Daylight",1,9,1,3,2,22
"538",1,2016-05-05,"07:56",3,1,1,"Daylight",1,5,3,3,2,25
"539",1,2016-05-05,"07:56",3,1,1,"Daylight",1,5,1,3,1,24
"540",1,2016-05-05,"07:56",3,1,1,"Daylight",1,5,2,3,2,22
"541",2,2016-05-05,"17:00",6,1,1,"Daylight",1,9,1,3,1,24
"542",2,2016-05-06,"14:18",3,1,1,"Daylight",1,9,1,3,2,27
"543",2,2016-05-06,"12:30",4,1,1,"Daylight",1,9,3,3,2,40
"544",1,2016-05-07,"22:07",3,2,6,"",1,9,2,3,1,19
"545",2,2016-05-08,"12:02",3,1,1,"Daylight",1,1,1,3,1,30
"546",1,2016-05-10,"15:15",6,1,1,"Daylight",1,9,3,3,2,6
"547",2,2016-05-10,"17:20",6,2,1,"Daylight",2,1,1,3,1,40
"548",2,2016-05-10,"13:45",6,1,1,"Daylight",1,5,1,3,1,50
"549",3,2016-05-11,"09:04",6,1,1,"Daylight",1,9,1,3,2,79
"550",3,2016-05-11,"09:04",6,1,1,"Daylight",1,9,1,3,2,73
"551",4,2016-05-12,"07:05",3,1,1,"Daylight",1,9,1,3,2,64
"552",4,2016-05-12,"07:05",3,1,1,"Daylight",1,9,1,3,2,55
"553",1,2016-05-13,"15:55",6,1,1,"Daylight",1,9,3,2,1,20
"554",1,2016-05-13,"20:00",6,1,1,"Daylight",1,2,1,3,1,19
"555",2,2016-05-14,"09:51",6,1,1,"Daylight",1,9,1,3,2,24
"556",2,2016-05-14,"14:38",6,1,1,"Daylight",1,9,1,3,2,24
"557",2,2016-05-14,"14:38",6,1,1,"Daylight",1,9,1,3,2,42
"558",2,2016-05-14,"14:20",3,1,1,"Daylight",1,9,2,3,1,9
"559",2,2016-05-14,"14:20",3,1,1,"Daylight",1,9,1,3,1,32
"560",2,2016-05-14,"14:20",3,1,1,"Daylight",1,9,2,3,2,11
"561",1,2016-05-14,"19:05",3,1,1,"Daylight",1,19,3,3,2,32
"562",2,2016-05-15,"08:55",3,1,1,"Daylight",1,9,1,3,1,48
"563",2,2016-05-15,"08:55",3,1,1,"Daylight",1,9,1,3,2,20
"564",2,2016-05-16,"17:35",3,1,1,"Daylight",1,5,1,3,1,57
"565",2,2016-05-16,"20:00",3,1,1,"Daylight",1,1,1,3,1,13
"566",2,2016-05-16,"23:14",3,1,4,"Dark",1,9,1,3,1,83
"567",2,2016-05-16,"23:14",3,1,4,"Dark",1,9,2,3,1,79
"568",2,2016-05-16,"23:14",3,1,4,"Dark",1,9,1,3,1,34
"569",2,2016-05-17,"12:09",6,1,1,"Daylight",1,19,1,3,2,31
"570",2,2016-05-17,"12:09",6,1,1,"Daylight",1,9,1,3,1,42
"571",1,2016-05-14,"16:45",6,1,1,"Daylight",1,9,3,3,1,35
"572",3,2016-05-17,"18:10",6,1,1,"Daylight",1,9,1,3,2,19
"573",3,2016-05-17,"18:10",6,1,1,"Daylight",1,9,2,3,1,62
"574",2,2016-05-19,"14:00",6,1,1,"Daylight",1,9,2,3,1,1
"575",2,2016-05-19,"14:00",6,1,1,"Daylight",1,9,1,3,2,52
"576",1,2016-05-19,"21:49",6,1,4,"Dark",1,9,3,3,2,45
"577",1,2016-05-19,"21:49",6,1,4,"Dark",1,9,1,3,2,26
"578",1,2016-05-20,"02:30",6,2,4,"Dark",1,9,3,3,2,23
"579",1,2016-05-20,"02:30",6,2,4,"Dark",1,9,3,3,2,24
"580",1,2016-05-20,"02:30",6,2,4,"Dark",1,9,3,3,1,25
"581",1,2016-05-21,"02:10",3,2,4,"Dark",2,9,1,2,1,20
"583",1,2016-05-21,"02:10",3,2,4,"Dark",2,9,2,3,1,21
"584",1,2016-05-21,"02:10",3,2,4,"Dark",2,9,2,3,1,25
"585",2,2016-05-21,"21:08",4,2,4,"Dark",2,9,2,3,2,19
"586",2,2016-05-21,"21:08",4,2,4,"Dark",2,9,1,2,2,40
"587",1,2016-05-22,"20:45",3,1,4,"Dark",1,9,1,3,1,18
"588",1,2016-05-22,"20:45",3,1,4,"Dark",1,9,2,3,2,16
"589",2,2016-05-23,"14:35",1,1,1,"Daylight",1,9,2,2,2,74
"590",2,2016-05-23,"17:20",6,1,1,"Daylight",1,1,1,3,1,44
"591",2,2016-05-24,"14:28",3,1,1,"Daylight",1,9,2,3,2,65
"592",2,2016-05-24,"14:28",3,1,1,"Daylight",1,9,1,3,2,68
"593",2,2016-05-24,"14:28",3,1,1,"Daylight",1,9,1,3,1,46
"594",2,2016-05-24,"20:22",3,1,1,"Daylight",1,1,1,3,2,65
"595",1,2016-05-26,"11:55",3,2,1,"Daylight",2,8,3,3,2,75
"596",1,2016-05-26,"16:32",6,2,1,"Daylight",2,2,1,2,1,20
"597",1,2016-05-26,"17:20",6,2,1,"Daylight",2,9,3,3,1,8
"598",2,2016-05-27,"23:45",3,1,4,"Dark",1,9,1,3,1,45
"599",2,2016-05-27,"23:45",3,1,4,"Dark",1,9,2,3,2,45
"600",3,2016-05-28,"10:16",3,1,1,"Daylight",1,1,1,3,1,26
"601",3,2016-05-28,"10:16",3,1,1,"Daylight",1,1,1,3,1,46
"602",1,2016-05-29,"20:18",6,1,1,"Daylight",1,5,1,3,1,60
"603",1,2016-05-30,"17:35",6,1,1,"Daylight",1,9,3,2,1,15
"604",3,2016-05-31,"16:03",3,1,1,"Daylight",1,9,1,3,1,20
"605",3,2016-05-31,"16:03",3,1,1,"Daylight",1,9,2,3,1,21
"606",3,2016-05-31,"16:03",3,1,1,"Daylight",1,19,1,3,1,28
"607",2,2016-05-31,"17:50",6,1,1,"Daylight",1,23,1,3,1,16
"608",2,2016-06-02,"15:15",6,1,1,"Daylight",1,9,1,3,1,37
"609",2,2016-06-02,"15:15",6,1,1,"Daylight",1,9,2,3,1,10
"610",2,2016-06-02,"15:15",6,1,1,"Daylight",1,9,2,3,2,12
"611",1,2016-06-05,"13:42",6,1,1,"Daylight",1,8,3,2,1,1
"612",1,2016-06-06,"13:00",6,1,1,"Daylight",1,8,3,3,1,36
"613",3,2016-06-11,"20:35",6,2,4,"Dark",2,9,1,3,1,63
"614",3,2016-06-11,"20:35",6,2,4,"Dark",2,9,2,3,1,25
"615",2,2016-06-12,"12:48",6,2,1,"Daylight",2,9,2,3,2,65
"616",2,2016-06-14,"21:32",6,2,1,"Daylight",1,9,2,3,2,25
"618",2,2016-06-18,"13:15",3,1,1,"Daylight",1,8,2,3,1,31
"619",2,2016-06-18,"13:15",3,1,1,"Daylight",1,8,2,3,2,27
"620",2,2016-06-18,"13:15",3,1,1,"Daylight",1,8,2,3,1,9
"621",2,2016-06-18,"13:15",3,1,1,"Daylight",1,8,2,3,2,7
"622",2,2016-06-18,"13:15",3,1,1,"Daylight",1,8,2,3,1,1
"623",2,2016-06-18,"13:15",3,1,1,"Daylight",1,8,2,3,2,54
"624",2,2016-06-18,"14:48",6,1,1,"Daylight",1,9,1,3,1,36
"625",2,2016-06-14,"00:20",6,1,7,"Dark",1,9,1,3,1,37
"626",2,2016-06-20,"17:34",3,1,1,"Daylight",1,9,2,3,2,27
"627",2,2016-06-20,"17:34",3,1,1,"Daylight",1,9,1,3,2,31
"628",2,2016-06-20,"17:34",3,1,1,"Daylight",1,9,2,3,2,24
"629",2,2016-06-22,"16:15",6,1,1,"Daylight",1,9,1,3,1,90
"630",1,2016-06-24,"01:15",6,1,4,"Dark",1,9,3,2,1,24
"631",2,2016-06-24,"15:15",6,1,1,"Daylight",1,9,1,3,2,20
"632",2,2016-06-26,"12:00",6,1,1,"Daylight",1,1,1,3,1,44
"633",2,2016-06-26,"12:45",3,1,1,"Daylight",1,1,1,3,1,54
"634",1,2016-06-28,"16:07",6,2,1,"Daylight",2,9,3,3,2,16
"636",1,2016-06-28,"23:44",3,2,4,"Dark",1,9,1,3,1,34
"637",1,2016-06-30,"12:11",6,1,1,"Daylight",1,19,3,3,2,79
"638",2,2016-07-03,"08:20",3,1,1,"Daylight",1,9,1,3,2,67
"639",2,2016-07-04,"10:54",1,1,1,"Daylight",1,9,1,3,2,39
"640",3,2016-07-04,"23:15",6,2,4,"Dark",2,9,3,2,1,21
"641",1,2016-07-05,"15:24",6,1,1,"Daylight",1,9,3,3,1,6
"642",1,2016-07-08,"03:30",3,1,4,"Dark",1,19,2,3,1,26
"643",2,2016-07-06,"08:00",3,1,1,"Daylight",1,9,1,3,2,27
"644",1,2016-07-08,"11:34",4,2,1,"Daylight",1,3,1,3,1,21
"645",2,2016-07-09,"11:55",3,2,1,"Daylight",2,9,1,3,2,30
"646",1,2016-07-09,"15:20",3,1,1,"Daylight",1,11,2,3,2,53
"647",1,2016-07-09,"21:35",6,2,1,"Daylight",2,9,3,2,1,52
"648",2,2016-07-10,"13:10",3,1,1,"Daylight",1,9,2,3,2,40
"649",3,2016-07-10,"15:48",6,2,1,"Daylight",2,9,1,3,2,42
"650",2,2016-07-11,"16:30",3,1,1,"Daylight",1,4,1,2,1,75
"651",2,2016-07-11,"18:12",6,1,1,"Daylight",1,1,1,2,1,10
"652",4,2016-07-12,"09:45",3,1,1,"Daylight",1,9,1,3,1,76
"653",4,2016-07-12,"09:45",3,1,1,"Daylight",1,9,2,3,1,21
"654",2,2016-07-14,"08:22",3,1,1,"Daylight",1,3,1,3,2,45
"655",2,2016-07-15,"07:52",6,1,1,"Daylight",1,1,1,3,1,11
"656",2,2016-07-15,"13:28",3,1,1,"Daylight",1,9,1,3,1,53
"657",2,2016-07-15,"13:28",3,1,1,"Daylight",1,9,2,3,2,19
"658",2,2016-07-15,"13:28",3,1,1,"Daylight",1,8,1,3,1,53
"659",2,2016-07-16,"03:05",1,2,4,"Dark",5,21,1,3,1,51
"660",2,2016-07-16,"03:05",1,2,4,"Dark",5,11,1,2,1,35
"661",2,2016-07-16,"03:05",1,2,4,"Dark",5,11,2,2,1,22
"662",2,2016-07-16,"16:09",3,1,1,"Daylight",1,9,2,3,1,2
"663",2,2016-07-16,"16:09",3,1,1,"Daylight",1,9,2,3,2,6
"664",3,2016-07-16,"21:45",6,1,4,"Dark",1,9,1,3,1,43
"665",2,2016-07-17,"13:16",3,1,1,"Daylight",1,1,1,1,1,32
"666",2,2016-07-17,"13:16",3,1,1,"Daylight",1,1,1,2,1,61
"667",2,2016-07-18,"18:25",1,1,1,"Daylight",1,9,1,3,2,38
"668",2,2016-07-19,"07:55",3,1,1,"Daylight",1,11,2,3,2,49
"669",2,2016-07-19,"17:30",6,1,1,"Daylight",1,19,2,3,2,20
"670",2,2016-07-18,"18:39",6,1,1,"Daylight",1,9,2,3,2,36
"671",2,2016-07-18,"18:39",6,1,1,"Daylight",1,9,2,3,2,7
"672",2,2016-07-18,"18:39",6,1,1,"Daylight",1,9,2,3,2,8
"673",2,2016-07-21,"09:45",6,1,1,"Daylight",1,9,2,3,2,12
"674",2,2016-07-22,"22:20",3,1,4,"Dark",1,4,3,3,1,36
"675",1,2016-07-23,"14:03",6,1,1,"Daylight",1,9,3,3,2,31
"676",1,2016-07-23,"14:03",6,1,1,"Daylight",1,9,3,3,2,1
"677",2,2016-07-23,"13:40",3,1,1,"Daylight",1,9,1,3,2,49
"678",2,2016-07-24,"01:31",3,1,1,"Daylight",1,19,1,2,1,26
"679",2,2016-07-24,"01:31",3,1,1,"Daylight",1,19,2,3,2,15
"680",2,2016-07-24,"01:31",3,1,1,"Daylight",1,8,1,3,1,43
"681",2,2016-07-24,"01:31",3,1,1,"Daylight",1,19,2,3,2,20
"682",2,2016-07-24,"12:34",6,1,1,"Daylight",1,9,1,3,1,22
"683",2,2016-07-26,"06:39",6,2,1,"Daylight",2,9,1,3,2,44
"684",2,2016-07-26,"07:50",1,1,1,"Daylight",1,9,1,3,1,33
"685",2,2016-07-26,"07:50",1,1,1,"Daylight",1,9,1,3,1,37
"686",2,2016-07-27,"11:10",3,1,1,"Daylight",1,9,1,3,2,27
"687",2,2016-07-28,"10:15",3,1,1,"Daylight",1,9,1,3,1,53
"688",2,2016-07-28,"10:15",3,1,1,"Daylight",1,9,1,3,2,68
"689",3,2016-07-28,"16:18",1,2,1,"Daylight",2,9,1,3,2,21
"690",3,2016-07-29,"18:50",6,1,1,"Daylight",1,9,1,3,2,24
